title,link
"""Tomato Soup""",http://brooklynfoodlibrary.blogspot.com/2013/02/soup-all-i-want-to-eat-these-days-is.html
"""Buffalo Chicken and Blue Cheese Dip""",http://brooklynfoodlibrary.blogspot.com/2013/02/buffalo-chicken-and-blue-cheese-dip.html
"""Broccoli and Cheddar Mini Quiches""",http://brooklynfoodlibrary.blogspot.com/2012/10/broccoli-and-cheddar-mini-quiches.html
"""Bacon, Cheddar, and Chive Biscuits""",http://brooklynfoodlibrary.blogspot.com/2012/03/anything-that-has-bacon-in-it-doesnt.html
"""Zucchini Cheddar Biscuits""",http://brooklynfoodlibrary.blogspot.com/2011/09/these-are-tasty-and-satisfying-when.html
"""Goat Cheese and Caramelized Onion Dip""",http://brooklynfoodlibrary.blogspot.com/2011/05/goat-cheese-and-caramelized-onion-dip.html
"""Zucchini Fritters""",http://brooklynfoodlibrary.blogspot.com/2011/03/zucchini-fritters.html
"""Caesar Salad with Homemade Croutons""",http://brooklynfoodlibrary.blogspot.com/2011/01/caesar-salad-with-homemade-croutons.html
"""Butternut Squash Soup with Pears and Shallots""",http://brooklynfoodlibrary.blogspot.com/2010/09/butternut-squash-soup-with-pears-and.html
"""Roasted Garlic Hummus with Toasted Pine Nuts""",http://brooklynfoodlibrary.blogspot.com/2010/08/roasted-garlic-hummus-with-toasted-pine.html
"""Spinach and Artichoke Stuffed Mushrooms""",http://brooklynfoodlibrary.blogspot.com/2010/07/spinach-and-artichoke-stuffed-mushrooms.html
"""Roasted Cauliflower Dip""",http://brooklynfoodlibrary.blogspot.com/2010/03/roasted-cauliflower-puree.html
"""Potato leek soup""",http://brooklynfoodlibrary.blogspot.com/2010/03/potato-leek-soup.html
