title,link
"""Raspberry Walnut Tart""",http://brooklynfoodlibrary.blogspot.com/2013/04/raspberry-walnut-tart.html
"""Chocolate Pecan Pie""",http://brooklynfoodlibrary.blogspot.com/2012/11/chocolate-pecan-pie.html
"""Sour Cherry Pie with Almond Crumble""",http://brooklynfoodlibrary.blogspot.com/2012/06/sour-cherry-pie-with-almond-crumble.html
"""Pumpkin Pie From Scratch""",http://brooklynfoodlibrary.blogspot.com/2011/11/pumpkin-pie-take-2.html
"""Blueberry Muffins with Streusel Topping""",http://brooklynfoodlibrary.blogspot.com/2011/09/blueberry-muffins.html
"""Cake Pops""",http://brooklynfoodlibrary.blogspot.com/2011/08/im-jumping-on-cake-pop-train-little.html
"""Strawberry and Cream Paletas""",http://brooklynfoodlibrary.blogspot.com/2011/07/strawberry-and-cream-paletas.html
"""Key Lime Tart""",http://brooklynfoodlibrary.blogspot.com/2011/06/key-lime-tart.html
"""Cranberry Bars with a Walnut Crust""",http://brooklynfoodlibrary.blogspot.com/2010/12/cranberry-bars-with-walnut-crust.html
"""Lemon Bars""",http://brooklynfoodlibrary.blogspot.com/2010/12/lemon-bars.html
"""Chocolate Pecan Pie Squares""",http://brooklynfoodlibrary.blogspot.com/2010/12/chocolate-pecan-pie-squares.html
"""Pumpkin Cheesecake Brownies""",http://brooklynfoodlibrary.blogspot.com/2010/11/pumpkin-cheesecake-brownies.html
"""Pear and Cranberry Crisp""",http://brooklynfoodlibrary.blogspot.com/2010/10/pear-and-cranberry-tart.html
"""Apple Pie""",http://brooklynfoodlibrary.blogspot.com/2010/10/apple-pie.html
"""Yellow Layer Cake with Raspberry Filling and Chocolate Frosting""",http://brooklynfoodlibrary.blogspot.com/2010/09/yellow-layer-cake-with-raspberry.html
"""Carrot Cake Cupcakes""",http://brooklynfoodlibrary.blogspot.com/2010/07/carrot-cake-cupcakes.html
"""4th of July Blueberry Pie (Oh My)""",http://brooklynfoodlibrary.blogspot.com/2010/07/4th-of-july-blueberry-pie-oh-my.html
"""Oatmeal Raisin Cookies""",http://brooklynfoodlibrary.blogspot.com/2010/06/oatmeal-raisin-cookies.html
"""Brownies with Chocolate and Peanut Butter Frosting""",http://brooklynfoodlibrary.blogspot.com/2010/03/brownies-with-chocolate-and-peanut.html
"""Mini Cinnamon and Sugar Muffins (Churro Bites) """,http://brooklynfoodlibrary.blogspot.com/2012/10/mini-cinnamon-and-sugar-muffins-churro.html
